"By age ","By qualification of stay","PERIOD","Total","Male","Female",
"Total","Total","2000 ","173071","101757","71314",
"Total","Total","2001 ","163898","92629","71269",
"Total","Total","2002 ","158941","92311","66630",
"Total","Total","2003 ","168875","102988","65887",
"Total","Total","2004 ","178530","103661","74869",
"Total","Total","2005 ","253729","150337","103392",
"Total","Total","2006 ","302963","180452","122511",
"Total","Total","2007 ","300360","165873","134487",
"Total","Total","2008 ","302174","166526","135648",
"Total","Total","2009 ","232844","121260","111584",
"Total","Total","2010 ","293070","156323","136747",
"Total","Total","2011 ","307249","168714","138535",
"Total","Total","2012 ","300177","165110","135067",
"Total","Total","2013 ","360473","201044","159429",
"Total","Total","2014 ","407063","223706","183357",
"Total","Total","2015 ","372935","200112","172823",
"Total","Total","2016 ","402203","217452","184751",
"Total","Total","2017 ","452657","245397","207260",
"Total","Total","2018 ","495079","268533","226546",
"Total","Total","2019 ","438220","230063","208157",
"Total","Sightseeing Pass","2000 ","14923","8731","6192",
"Total","Sightseeing Pass","2001 ","20954","13521","7433",
"Total","Sightseeing Pass","2002 ","22907","14581","8326",
"Total","Sightseeing Pass","2003 ","17814","10914","6900",
"Total","Sightseeing Pass","2004 ","18729","10858","7871",
"Total","Sightseeing Pass","2005 ","17688","10029","7659",
"Total","Sightseeing Pass","2006 ","15922","8833","7089",
"Total","Sightseeing Pass","2007 ","15911","8750","7161",
"Total","Sightseeing Pass","2008 ","18336","10226","8110",
"Total","Sightseeing Pass","2009 ","21012","11159","9853",
"Total","Sightseeing Pass","2010 ","25681","13778","11903",
"Total","Sightseeing Pass","2011 ","24239","12275","11964",
"Total","Sightseeing Pass","2012 ","24733","12402","12331",
"Total","Sightseeing Pass","2013 ","22044","11290","10754",
"Total","Sightseeing Pass","2014 ","23441","12346","11095",
"Total","Sightseeing Pass","2015 ","26335","14260","12075",
"Total","Sightseeing Pass","2016 ","23863","12822","11041",
"Total","Sightseeing Pass","2017 ","24137","13669","10468",
"Total","Sightseeing Pass","2018 ","32990","19541","13449",
"Total","Sightseeing Pass","2019 ","23192","11590","11602",
"Total","Short-term Business","2000 ","17718","11396","6322",
"Total","Short-term Business","2001 ","21027","13370","7657",
"Total","Short-term Business","2002 ","10761","7248","3513",
"Total","Short-term Business","2003 ","7832","5716","2116",
"Total","Short-term Business","2004 ","7626","5670","1956",
"Total","Short-term Business","2005 ","6505","4810","1695",
"Total","Short-term Business","2006 ","11925","8792","3133",
"Total","Short-term Business","2007 ","16168","12039","4129",
"Total","Short-term Business","2008 ","8443","6609","1834",
"Total","Short-term Business","2009 ","2894","2375","519",
"Total","Short-term Business","2010 ","2752","2367","385",
"Total","Short-term Business","2011 ","2566","2267","299",
"Total","Short-term Visitors","2000 ","50276","27106","23170",
"Total","Short-term Visitors","2001 ","44844","24313","20531",
"Total","Short-term Visitors","2002 ","40911","23394","17517",
"Total","Short-term Visitors","2003 ","31061","16682","14379",
"Total","Short-term Visitors","2004 ","28097","15740","12357",
"Total","Short-term Visitors","2005 ","35747","17793","17954",
"Total","Short-term Visitors","2006 ","37417","19191","18226",
"Total","Short-term Visitors","2007 ","30892","15067","15825",
"Total","Short-term Visitors","2008 ","23862","10857","13005",
"Total","Short-term Visitors","2009 ","16853","6767","10086",
"Total","Short-term Visitors","2010 ","44145","21547","22598",
"Total","Short-term Visitors","2011 ","57438","28414","29024",
"Total","Short-term Visitors","2012 ","56201","28937","27264",
"Total","Short-term Visitors","2013 ","73162","38866","34296",
"Total","Short-term Visitors","2014 ","54904","28822","26082",
"Total","Short-term Visitors","2015 ","64459","33682","30777",
"Total","Short-term Visitors","2016 ","64412","35159","29253",
"Total","Short-term Visitors","2017 ","62527","35336","27191",
"Total","Short-term Visitors","2018 ","63315","35655","27660",
"Total","Short-term Visitors","2019 ","58692","33814","24878",
"Total","Short-term Employment","2000 ","210","166","44",
"Total","Short-term Employment","2001 ","166","99","67",
"Total","Short-term Employment","2002 ","335","213","122",
"Total","Short-term Employment","2003 ","388","247","141",
"Total","Short-term Employment","2004 ","336","201","135",
"Total","Short-term Employment","2005 ","389","243","146",
"Total","Short-term Employment","2006 ","369","231","138",
"Total","Short-term Employment","2007 ","484","293","191",
"Total","Short-term Employment","2008 ","317","200","117",
"Total","Short-term Employment","2009 ","161","95","66",
"Total","Short-term Employment","2010 ","153","84","69",
"Total","Short-term Employment","2011 ","131","82","49",
"Total","Short-term Employment","2012 ","194","118","76",
"Total","Short-term Employment","2013 ","76","51","25",
"Total","Short-term Employment","2014 ","77","51","26",
"Total","Short-term Employment","2015 ","127","93","34",
"Total","Short-term Employment","2016 ","361","326","35",
"Total","Short-term Employment","2017 ","253","140","113",
"Total","Short-term Employment","2018 ","242","170","72",
"Total","Short-term Employment","2019 ","210","155","55",
"Total","Job Seeking","2000 ","0","0","0",
"Total","Job Seeking","2001 ","0","0","0",
"Total","Job Seeking","2002 ","0","0","0",
"Total","Job Seeking","2003 ","0","0","0",
"Total","Job Seeking","2004 ","0","0","0",
"Total","Job Seeking","2005 ","0","0","0",
"Total","Job Seeking","2006 ","0","0","0",
"Total","Job Seeking","2007 ","0","0","0",
"Total","Job Seeking","2008 ","0","0","0",
"Total","Job Seeking","2009 ","1","0","1",
"Total","Job Seeking","2010 ","7","4","3",
"Total","Job Seeking","2011 ","18","11","7",
"Total","Job Seeking","2012 ","87","41","46",
"Total","Job Seeking","2013 ","190","78","112",
"Total","Job Seeking","2014 ","200","88","112",
"Total","Job Seeking","2015 ","199","87","112",
"Total","Job Seeking","2016 ","235","86","149",
"Total","Job Seeking","2017 ","204","85","119",
"Total","Job Seeking","2018 ","295","117","178",
"Total","Job Seeking","2019 ","237","118","119",
"Total","study","2000 ","1702","899","803",
"Total","study","2001 ","2166","1085","1081",
"Total","study","2002 ","2949","1428","1521",
"Total","study","2003 ","4115","2037","2078",
"Total","study","2004 ","6784","3402","3382",
"Total","study","2005 ","8823","4415","4408",
"Total","study","2006 ","12725","6275","6450",
"Total","study","2007 ","14873","7079","7794",
"Total","study","2008 ","14703","6627","8076",
"Total","study","2009 ","14845","6289","8556",
"Total","study","2010 ","16764","6745","10019",
"Total","study","2011 ","15634","6216","9418",
"Total","study","2012 ","15355","6262","9093",
"Total","study","2013 ","19151","7216","11935",
"Total","study","2014 ","21931","7736","14195",
"Total","study","2015 ","23392","8085","15307",
"Total","study","2016 ","27271","9183","18088",
"Total","study","2017 ","28190","10132","18058",
"Total","study","2018 ","35476","13000","22476",
"Total","study","2019 ","35338","13416","21922",
"Total","General Trainees","2000 ","1199","621","578",
"Total","General Trainees","2001 ","1498","746","752",
"Total","General Trainees","2002 ","1423","746","677",
"Total","General Trainees","2003 ","1907","999","908",
"Total","General Trainees","2004 ","3516","1790","1726",
"Total","General Trainees","2005 ","4408","2262","2146",
"Total","General Trainees","2006 ","8465","4396","4069",
"Total","General Trainees","2007 ","13573","7143","6430",
"Total","General Trainees","2008 ","13599","6817","6782",
"Total","General Trainees","2009 ","10895","5119","5776",
"Total","General Trainees","2010 ","11849","5375","6474",
"Total","General Trainees","2011 ","13337","6397","6940",
"Total","General Trainees","2012 ","12214","5579","6635",
"Total","General Trainees","2013 ","12456","5414","7042",
"Total","General Trainees","2014 ","15090","6220","8870",
"Total","General Trainees","2015 ","17027","7146","9881",
"Total","General Trainees","2016 ","25325","11337","13988",
"Total","General Trainees","2017 ","29835","14688","15147",
"Total","General Trainees","2018 ","33345","16790","16555",
"Total","General Trainees","2019 ","30148","13934","16214",
"Total","Religious Activities","2000 ","527","329","198",
"Total","Religious Activities","2001 ","637","358","279",
"Total","Religious Activities","2002 ","579","344","235",
"Total","Religious Activities","2003 ","523","327","196",
"Total","Religious Activities","2004 ","514","332","182",
"Total","Religious Activities","2005 ","585","352","233",
"Total","Religious Activities","2006 ","643","397","246",
"Total","Religious Activities","2007 ","662","399","263",
"Total","Religious Activities","2008 ","632","374","258",
"Total","Religious Activities","2009 ","478","263","215",
"Total","Religious Activities","2010 ","535","308","227",
"Total","Religious Activities","2011 ","491","263","228",
"Total","Religious Activities","2012 ","2151","639","1512",
"Total","Religious Activities","2013 ","667","380","287",
"Total","Religious Activities","2014 ","576","355","221",
"Total","Religious Activities","2015 ","524","268","256",
"Total","Religious Activities","2016 ","567","299","268",
"Total","Religious Activities","2017 ","519","266","253",
"Total","Religious Activities","2018 ","447","206","241",
"Total","Religious Activities","2019 ","422","196","226",
"Total","Investors","2000 ","1891","1201","690",
"Total","Investors","2001 ","1617","1225","392",
"Total","Investors","2002 ","1214","1097","117",
"Total","Investors","2003 ","1036","942","94",
"Total","Investors","2004 ","1145","978","167",
"Total","Investors","2005 ","1474","1244","230",
"Total","Investors","2006 ","895","788","107",
"Total","Investors","2007 ","1001","911","90",
"Total","Investors","2008 ","1020","912","108",
"Total","Investors","2009 ","813","754","59",
"Total","Investors","2010 ","873","789","84",
"Total","Investors","2011 ","840","766","74",
"Total","Investors","2012 ","793","749","44",
"Total","Investors","2013 ","921","854","67",
"Total","Investors","2014 ","593","539","54",
"Total","Investors","2015 ","565","515","50",
"Total","Investors","2016 ","717","660","57",
"Total","Investors","2017 ","501","450","51",
"Total","Investors","2018 ","603","543","60",
"Total","Investors","2019 ","589","505","84",
"Total","Trade and Business","2000 ","336","323","13",
"Total","Trade and Business","2001 ","486","472","14",
"Total","Trade and Business","2002 ","518","505","13",
"Total","Trade and Business","2003 ","548","529","19",
"Total","Trade and Business","2004 ","541","523","18",
"Total","Trade and Business","2005 ","764","745","19",
"Total","Trade and Business","2006 ","586","579","7",
"Total","Trade and Business","2007 ","647","634","13",
"Total","Trade and Business","2008 ","724","708","16",
"Total","Trade and Business","2009 ","819","802","17",
"Total","Trade and Business","2010 ","922","894","28",
"Total","Trade and Business","2011 ","1125","1079","46",
"Total","Trade and Business","2012 ","1213","1173","40",
"Total","Trade and Business","2013 ","1643","1572","71",
"Total","Trade and Business","2014 ","1771","1690","81",
"Total","Trade and Business","2015 ","1393","1328","65",
"Total","Trade and Business","2016 ","1107","1055","52",
"Total","Trade and Business","2017 ","715","671","44",
"Total","Trade and Business","2018 ","650","614","36",
"Total","Trade and Business","2019 ","652","609","43",
"Total","Research","2000 ","471","397","74",
"Total","Research","2001 ","556","465","91",
"Total","Research","2002 ","643","560","83",
"Total","Research","2003 ","691","587","104",
"Total","Research","2004 ","748","628","120",
"Total","Research","2005 ","731","624","107",
"Total","Research","2006 ","812","677","135",
"Total","Research","2007 ","781","659","122",
"Total","Research","2008 ","580","482","98",
"Total","Research","2009 ","550","469","81",
"Total","Research","2010 ","692","595","97",
"Total","Research","2011 ","742","639","103",
"Total","Research","2012 ","762","659","103",
"Total","Research","2013 ","881","764","117",
"Total","Research","2014 ","758","668","90",
"Total","Research","2015 ","675","573","102",
"Total","Research","2016 ","852","744","108",
"Total","Research","2017 ","701","593","108",
"Total","Research","2018 ","768","660","108",
"Total","Research","2019 ","674","569","105",
"Total","Art and Entertainment","2000 ","4747","626","4121",
"Total","Art and Entertainment","2001 ","5600","737","4863",
"Total","Art and Entertainment","2002 ","4515","796","3719",
"Total","Art and Entertainment","2003 ","3179","743","2436",
"Total","Art and Entertainment","2004 ","2950","804","2146",
"Total","Art and Entertainment","2005 ","3571","938","2633",
"Total","Art and Entertainment","2006 ","2911","876","2035",
"Total","Art and Entertainment","2007 ","2678","733","1945",
"Total","Art and Entertainment","2008 ","3035","811","2224",
"Total","Art and Entertainment","2009 ","2780","545","2235",
"Total","Art and Entertainment","2010 ","2549","633","1916",
"Total","Art and Entertainment","2011 ","1941","622","1319",
"Total","Art and Entertainment","2012 ","2472","642","1830",
"Total","Art and Entertainment","2013 ","2423","612","1811",
"Total","Art and Entertainment","2014 ","2516","663","1853",
"Total","Art and Entertainment","2015 ","2119","580","1539",
"Total","Art and Entertainment","2016 ","1575","561","1014",
"Total","Art and Entertainment","2017 ","1112","522","590",
"Total","Art and Entertainment","2018 ","1178","542","636",
"Total","Art and Entertainment","2019 ","1298","536","762",
"Total","Unskilled Employment","2000 ","0","0","0",
"Total","Unskilled Employment","2001 ","0","0","0",
"Total","Unskilled Employment","2002 ","0","0","0",
"Total","Unskilled Employment","2003 ","1465","1066","399",
"Total","Unskilled Employment","2004 ","5849","4533","1316",
"Total","Unskilled Employment","2005 ","31487","27426","4061",
"Total","Unskilled Employment","2006 ","28881","25151","3730",
"Total","Unskilled Employment","2007 ","30213","27481","2732",
"Total","Unskilled Employment","2008 ","45894","41418","4476",
"Total","Unskilled Employment","2009 ","24047","21874","2173",
"Total","Unskilled Employment","2010 ","34862","31898","2964",
"Total","Unskilled Employment","2011 ","50113","45342","4771",
"Total","Unskilled Employment","2012 ","54545","49728","4817",
"Total","Unskilled Employment","2013 ","59522","54421","5101",
"Total","Unskilled Employment","2014 ","53219","48697","4522",
"Total","Unskilled Employment","2015 ","52167","47582","4585",
"Total","Unskilled Employment","2016 ","60538","54999","5539",
"Total","Unskilled Employment","2017 ","51341","46703","4638",
"Total","Unskilled Employment","2018 ","54499","50390","4109",
"Total","Unskilled Employment","2019 ","53399","49494","3905",
"Total","Visiting and Joining Family","2000 ","8594","2462","6132",
"Total","Visiting and Joining Family","2001 ","12123","2498","9625",
"Total","Visiting and Joining Family","2002 ","9290","2682","6608",
"Total","Visiting and Joining Family","2003 ","11337","5672","5665",
"Total","Visiting and Joining Family","2004 ","18245","9617","8628",
"Total","Visiting and Joining Family","2005 ","51204","26703","24501",
"Total","Visiting and Joining Family","2006 ","84400","46391","38009",
"Total","Visiting and Joining Family","2007 ","17668","9173","8495",
"Total","Visiting and Joining Family","2008 ","5554","2794","2760",
"Total","Visiting and Joining Family","2009 ","5335","2631","2704",
"Total","Visiting and Joining Family","2010 ","8410","4404","4006",
"Total","Visiting and Joining Family","2011 ","6955","3337","3618",
"Total","Visiting and Joining Family","2012 ","7132","2627","4505",
"Total","Visiting and Joining Family","2013 ","7684","2629","5055",
"Total","Visiting and Joining Family","2014 ","8091","2763","5328",
"Total","Visiting and Joining Family","2015 ","10394","3671","6723",
"Total","Visiting and Joining Family","2016 ","17195","6535","10660",
"Total","Visiting and Joining Family","2017 ","17803","7265","10538",
"Total","Visiting and Joining Family","2018 ","18177","7559","10618",
"Total","Visiting and Joining Family","2019 ","20493","8239","12254",
"Total","Overseas Koreans","2000 ","1258","669","589",
"Total","Overseas Koreans","2001 ","1584","803","781",
"Total","Overseas Koreans","2002 ","2139","1106","1033",
"Total","Overseas Koreans","2003 ","2190","1157","1033",
"Total","Overseas Koreans","2004 ","2244","1120","1124",
"Total","Overseas Koreans","2005 ","2620","1263","1357",
"Total","Overseas Koreans","2006 ","2655","1264","1391",
"Total","Overseas Koreans","2007 ","3196","1465","1731",
"Total","Overseas Koreans","2008 ","4198","1947","2251",
"Total","Overseas Koreans","2009 ","4942","2390","2552",
"Total","Overseas Koreans","2010 ","15529","7206","8323",
"Total","Overseas Koreans","2011 ","20999","10058","10941",
"Total","Overseas Koreans","2012 ","19480","9324","10156",
"Total","Overseas Koreans","2013 ","28587","13936","14651",
"Total","Overseas Koreans","2014 ","40802","18788","22014",
"Total","Overseas Koreans","2015 ","45617","21165","24452",
"Total","Overseas Koreans","2016 ","51500","24324","27176",
"Total","Overseas Koreans","2017 ","51953","24390","27563",
"Total","Overseas Koreans","2018 ","54882","25604","29278",
"Total","Overseas Koreans","2019 ","52736","24401","28335",
"Total","Permanent Residence","2000 ","0","0","0",
"Total","Permanent Residence","2001 ","0","0","0",
"Total","Permanent Residence","2002 ","14","7","7",
"Total","Permanent Residence","2003 ","246","141","105",
"Total","Permanent Residence","2004 ","419","228","191",
"Total","Permanent Residence","2005 ","420","215","205",
"Total","Permanent Residence","2006 ","358","194","164",
"Total","Permanent Residence","2007 ","468","208","260",
"Total","Permanent Residence","2008 ","586","241","345",
"Total","Permanent Residence","2009 ","610","231","379",
"Total","Permanent Residence","2010 ","1192","526","666",
"Total","Permanent Residence","2011 ","2741","1258","1483",
"Total","Permanent Residence","2012 ","3928","1813","2115",
"Total","Permanent Residence","2013 ","5062","2328","2734",
"Total","Permanent Residence","2014 ","5509","2532","2977",
"Total","Permanent Residence","2015 ","5790","2580","3210",
"Total","Permanent Residence","2016 ","5824","2555","3269",
"Total","Permanent Residence","2017 ","5921","2543","3378",
"Total","Permanent Residence","2018 ","6104","2600","3504",
"Total","Permanent Residence","2019 ","6168","2534","3634",
"Total","Marriage Immigration","2011 ","783","58","725",
"Total","Marriage Immigration","2012 ","17001","1547","15454",
"Total","Marriage Immigration","2013 ","15890","1576","14314",
"Total","Marriage Immigration","2014 ","12204","1440","10764",
"Total","Marriage Immigration","2015 ","11470","1257","10213",
"Total","Marriage Immigration","2016 ","12214","1412","10802",
"Total","Marriage Immigration","2017 ","11679","1371","10308",
"Total","Marriage Immigration","2018 ","12557","1560","10997",
"Total","Marriage Immigration","2019 ","13396","1755","11641",
"0 s","Total","2000 ","1761","899","862",
"0 s","Total","2001 ","2054","1059","995",
"0 s","Total","2002 ","2472","1361","1111",
"0 s","Total","2003 ","2752","1543","1209",
"0 s","Total","2004 ","2963","1620","1343",
"0 s","Total","2005 ","2912","1540","1372",
"0 s","Total","2006 ","2674","1474","1200",
"0 s","Total","2007 ","3370","1783","1587",
"0 s","Total","2008 ","3956","2115","1841",
"0 s","Total","2009 ","3740","2017","1723",
"0 s","Total","2010 ","3845","2003","1842",
"0 s","Total","2011 ","3461","1768","1693",
"0 s","Total","2012 ","3687","1899","1788",
"0 s","Total","2013 ","4104","2181","1923",
"0 s","Total","2014 ","4074","2090","1984",
"0 s","Total","2015 ","4172","2143","2029",
"0 s","Total","2016 ","3732","1954","1778",
"0 s","Total","2017 ","3626","1891","1735",
"0 s","Total","2018 ","3644","1909","1735",
"0 s","Total","2019 ","3708","1911","1797",
"0 s","Sightseeing Pass","2000 ","570","282","288",
"0 s","Sightseeing Pass","2001 ","730","389","341",
"0 s","Sightseeing Pass","2002 ","936","511","425",
"0 s","Sightseeing Pass","2003 ","1202","685","517",
"0 s","Sightseeing Pass","2004 ","1558","863","695",
"0 s","Sightseeing Pass","2005 ","1654","869","785",
"0 s","Sightseeing Pass","2006 ","1576","843","733",
"0 s","Sightseeing Pass","2007 ","2216","1195","1021",
"0 s","Sightseeing Pass","2008 ","2664","1442","1222",
"0 s","Sightseeing Pass","2009 ","2733","1499","1234",
"0 s","Sightseeing Pass","2010 ","2811","1482","1329",
"0 s","Sightseeing Pass","2011 ","2430","1247","1183",
"0 s","Sightseeing Pass","2012 ","2461","1270","1191",
"0 s","Sightseeing Pass","2013 ","2565","1381","1184",
"0 s","Sightseeing Pass","2014 ","2454","1271","1183",
"0 s","Sightseeing Pass","2015 ","2291","1215","1076",
"0 s","Sightseeing Pass","2016 ","1944","1006","938",
"0 s","Sightseeing Pass","2017 ","1848","960","888",
"0 s","Sightseeing Pass","2018 ","1931","1028","903",
"0 s","Sightseeing Pass","2019 ","1896","997","899",
"0 s","Short-term Business","2000 ","3","1","2",
"0 s","Short-term Business","2001 ","2","1","1",
"0 s","Short-term Business","2002 ","5","2","3",
"0 s","Short-term Business","2003 ","5","3","2",
"0 s","Short-term Business","2004 ","4","2","2",
"0 s","Short-term Business","2005 ","6","5","1",
"0 s","Short-term Business","2006 ","7","4","3",
"0 s","Short-term Business","2007 ","6","3","3",
"0 s","Short-term Business","2008 ","1","0","1",
"0 s","Short-term Business","2009 ","5","3","2",
"0 s","Short-term Business","2010 ","2","1","1",
"0 s","Short-term Business","2011 ","3","1","2",
"0 s","Short-term Visitors","2000 ","333","171","162",
"0 s","Short-term Visitors","2001 ","390","205","185",
"0 s","Short-term Visitors","2002 ","423","257","166",
"0 s","Short-term Visitors","2003 ","465","238","227",
"0 s","Short-term Visitors","2004 ","424","222","202",
"0 s","Short-term Visitors","2005 ","426","233","193",
"0 s","Short-term Visitors","2006 ","376","207","169",
"0 s","Short-term Visitors","2007 ","450","216","234",
"0 s","Short-term Visitors","2008 ","592","304","288",
"0 s","Short-term Visitors","2009 ","324","170","154",
"0 s","Short-term Visitors","2010 ","329","166","163",
"0 s","Short-term Visitors","2011 ","480","234","246",
"0 s","Short-term Visitors","2012 ","573","307","266",
"0 s","Short-term Visitors","2013 ","836","427","409",
"0 s","Short-term Visitors","2014 ","750","380","370",
"0 s","Short-term Visitors","2015 ","957","478","479",
"0 s","Short-term Visitors","2016 ","844","442","402",
"0 s","Short-term Visitors","2017 ","737","404","333",
"0 s","Short-term Visitors","2018 ","646","327","319",
"0 s","Short-term Visitors","2019 ","557","272","285",
"0 s","Short-term Employment","2000 ","0","0","0",
"0 s","Short-term Employment","2001 ","0","0","0",
"0 s","Short-term Employment","2002 ","0","0","0",
"0 s","Short-term Employment","2003 ","0","0","0",
"0 s","Short-term Employment","2004 ","0","0","0",
"0 s","Short-term Employment","2005 ","0","0","0",
"0 s","Short-term Employment","2006 ","0","0","0",
"0 s","Short-term Employment","2007 ","0","0","0",
"0 s","Short-term Employment","2008 ","0","0","0",
"0 s","Short-term Employment","2009 ","0","0","0",
"0 s","Short-term Employment","2010 ","0","0","0",
"0 s","Job Seeking","2000 ","0","0","0",
"0 s","Job Seeking","2001 ","0","0","0",
"0 s","Job Seeking","2002 ","0","0","0",
"0 s","Job Seeking","2003 ","0","0","0",
"0 s","Job Seeking","2004 ","0","0","0",
"0 s","Job Seeking","2005 ","0","0","0",
"0 s","Job Seeking","2006 ","0","0","0",
"0 s","Job Seeking","2007 ","0","0","0",
"0 s","Job Seeking","2008 ","0","0","0",
"0 s","Job Seeking","2009 ","0","0","0",
"0 s","Job Seeking","2010 ","0","0","0",
"0 s","study","2000 ","0","0","0",
"0 s","study","2001 ","0","0","0",
"0 s","study","2002 ","1","1","0",
"0 s","study","2003 ","0","0","0",
"0 s","study","2004 ","1","1","0",
"0 s","study","2005 ","0","0","0",
"0 s","study","2006 ","1","1","0",
"0 s","study","2007 ","0","0","0",
"0 s","study","2008 ","0","0","0",
"0 s","study","2009 ","0","0","0",
"0 s","study","2010 ","0","0","0",
"0 s","General Trainees","2000 ","1","1","0",
"0 s","General Trainees","2001 ","0","0","0",
"0 s","General Trainees","2002 ","0","0","0",
"0 s","General Trainees","2003 ","0","0","0",
"0 s","General Trainees","2004 ","0","0","0",
"0 s","General Trainees","2005 ","0","0","0",
"0 s","General Trainees","2006 ","1","1","0",
"0 s","General Trainees","2007 ","0","0","0",
"0 s","General Trainees","2008 ","0","0","0",
"0 s","General Trainees","2009 ","0","0","0",
"0 s","General Trainees","2010 ","0","0","0",
"0 s","Religious Activities","2000 ","0","0","0",
"0 s","Religious Activities","2001 ","0","0","0",
"0 s","Religious Activities","2002 ","0","0","0",
"0 s","Religious Activities","2003 ","0","0","0",
"0 s","Religious Activities","2004 ","0","0","0",
"0 s","Religious Activities","2005 ","0","0","0",
"0 s","Religious Activities","2006 ","0","0","0",
"0 s","Religious Activities","2007 ","0","0","0",
"0 s","Religious Activities","2008 ","0","0","0",
"0 s","Religious Activities","2009 ","0","0","0",
"0 s","Religious Activities","2010 ","0","0","0",
"0 s","Investors","2000 ","0","0","0",
"0 s","Investors","2001 ","4","3","1",
"0 s","Investors","2002 ","1","1","0",
"0 s","Investors","2003 ","0","0","0",
"0 s","Investors","2004 ","2","2","0",
"0 s","Investors","2005 ","3","3","0",
"0 s","Investors","2006 ","2","2","0",
"0 s","Investors","2007 ","0","0","0",
"0 s","Investors","2008 ","0","0","0",
"0 s","Investors","2009 ","0","0","0",
"0 s","Investors","2010 ","0","0","0",
"0 s","Trade and Business","2000 ","0","0","0",
"0 s","Trade and Business","2001 ","0","0","0",
"0 s","Trade and Business","2002 ","0","0","0",
"0 s","Trade and Business","2003 ","0","0","0",
"0 s","Trade and Business","2004 ","0","0","0",
"0 s","Trade and Business","2005 ","0","0","0",
"0 s","Trade and Business","2006 ","1","1","0",
"0 s","Trade and Business","2007 ","0","0","0",
"0 s","Trade and Business","2008 ","0","0","0",
"0 s","Trade and Business","2009 ","0","0","0",
"0 s","Trade and Business","2010 ","0","0","0",
"0 s","Research","2000 ","0","0","0",
"0 s","Research","2001 ","0","0","0",
"0 s","Research","2002 ","0","0","0",
"0 s","Research","2003 ","2","0","2",
"0 s","Research","2004 ","0","0","0",
"0 s","Research","2005 ","0","0","0",
"0 s","Research","2006 ","0","0","0",
"0 s","Research","2007 ","0","0","0",
"0 s","Research","2008 ","0","0","0",
"0 s","Research","2009 ","0","0","0",
"0 s","Research","2010 ","0","0","0",
"0 s","Art and Entertainment","2000 ","1","0","1",
"0 s","Art and Entertainment","2001 ","2","0","2",
"0 s","Art and Entertainment","2002 ","0","0","0",
"0 s","Art and Entertainment","2003 ","0","0","0",
"0 s","Art and Entertainment","2004 ","1","0","1",
"0 s","Art and Entertainment","2005 ","0","0","0",
"0 s","Art and Entertainment","2006 ","0","0","0",
"0 s","Art and Entertainment","2007 ","0","0","0",
"0 s","Art and Entertainment","2008 ","0","0","0",
"0 s","Art and Entertainment","2009 ","0","0","0",
"0 s","Art and Entertainment","2010 ","0","0","0",
"0 s","Unskilled Employment","2000 ","0","0","0",
"0 s","Unskilled Employment","2001 ","0","0","0",
"0 s","Unskilled Employment","2002 ","0","0","0",
"0 s","Unskilled Employment","2003 ","0","0","0",
"0 s","Unskilled Employment","2004 ","1","0","1",
"0 s","Unskilled Employment","2005 ","2","2","0",
"0 s","Unskilled Employment","2006 ","2","2","0",
"0 s","Unskilled Employment","2007 ","0","0","0",
"0 s","Unskilled Employment","2008 ","0","0","0",
"0 s","Unskilled Employment","2009 ","0","0","0",
"0 s","Unskilled Employment","2010 ","0","0","0",
"0 s","Unskilled Employment","2012 ","1","1","",
"0 s","Visiting and Joining Family","2000 ","605","321","284",
"0 s","Visiting and Joining Family","2001 ","678","334","344",
"0 s","Visiting and Joining Family","2002 ","816","435","381",
"0 s","Visiting and Joining Family","2003 ","774","458","316",
"0 s","Visiting and Joining Family","2004 ","602","332","270",
"0 s","Visiting and Joining Family","2005 ","471","251","220",
"0 s","Visiting and Joining Family","2006 ","403","249","154",
"0 s","Visiting and Joining Family","2007 ","370","201","169",
"0 s","Visiting and Joining Family","2008 ","351","190","161",
"0 s","Visiting and Joining Family","2009 ","318","175","143",
"0 s","Visiting and Joining Family","2010 ","255","133","122",
"0 s","Visiting and Joining Family","2011 ","114","56","58",
"0 s","Visiting and Joining Family","2012 ","85","41","44",
"0 s","Visiting and Joining Family","2013 ","106","60","46",
"0 s","Visiting and Joining Family","2014 ","156","75","81",
"0 s","Visiting and Joining Family","2015 ","176","90","86",
"0 s","Visiting and Joining Family","2016 ","261","136","125",
"0 s","Visiting and Joining Family","2017 ","355","172","183",
"0 s","Visiting and Joining Family","2018 ","363","181","182",
"0 s","Visiting and Joining Family","2019 ","478","241","237",
"0 s","Overseas Koreans","2000 ","35","18","17",
"0 s","Overseas Koreans","2001 ","19","10","9",
"0 s","Overseas Koreans","2002 ","15","8","7",
"0 s","Overseas Koreans","2003 ","9","7","2",
"0 s","Overseas Koreans","2004 ","5","2","3",
"0 s","Overseas Koreans","2005 ","4","0","4",
"0 s","Overseas Koreans","2006 ","5","3","2",
"0 s","Overseas Koreans","2007 ","5","2","3",
"0 s","Overseas Koreans","2008 ","6","4","2",
"0 s","Overseas Koreans","2009 ","10","5","5",
"0 s","Overseas Koreans","2010 ","29","12","17",
"0 s","Overseas Koreans","2011 ","29","16","13",
"0 s","Overseas Koreans","2012 ","15","8","7",
"0 s","Overseas Koreans","2013 ","8","2","6",
"0 s","Overseas Koreans","2014 ","9","5","4",
"0 s","Overseas Koreans","2015 ","8","3","5",
"0 s","Overseas Koreans","2016 ","13","9","4",
"0 s","Overseas Koreans","2017 ","8","3","5",
"0 s","Overseas Koreans","2018 ","5","2","3",
"0 s","Overseas Koreans","2019 ","13","7","6",
